,h3,AMB-003-A,AMB-005-A,AMB-006-A,AMB-007-AT,AMB-008-AT,AMB-012-A,AMB-017-A,AMB-019-A,AMB-020-A,AMB-021-A,AMB-030-AT,AMB-031-A,AMB-033-A,AMB-034-A,AMB-036-A,AMB-038-A,AMB-040-A,geometry
0,88e74ab153fffff,1,1,,0.003627558549245,98.66666666666667,0.0,1,0,0,0,0.0,0,0,0,0,0,,"POLYGON ((5325672.764302949 2270751.8352330658, 5326192.707413554 2271311.584495891, 5326637.221949646 2270257.9277329687, 5326561.909070265 2268644.614224476, 5326042.007131213 2268084.294745554, 5325597.37686711 2269137.858805307, 5325672.764302949 2270751.8352330658))"
1,88e74e391bfffff,0,0,,0.0,134.0,0.0,0,0,0,0,0.0,0,0,0,0,0,,"POLYGON ((5277632.122432273 2453118.5430783606, 5278155.3518828135 2453643.7894369415, 5278588.734309604 2452534.104613217, 5278499.0069025075 2450899.226504544, 5277975.808643907 2450373.359321633, 5277542.3065607315 2451482.9908861388, 5277632.122432273 2453118.5430783606))"
2,88ef9e3307fffff,1,0,2. Territorios agrícolas,0.370869636535645,226.75,0.0,0,0,0,0,0.0,0,0,0,0,0,,"POLYGON ((4714660.424601333 1703928.8694254826, 4715184.233684346 1704888.9844674459, 4715657.988718425 1703580.0802232202, 4715608.13969715 1701311.498695523, 4715084.475877837 1700350.433693672, 4714610.515773253 1701658.8996090163, 4714660.424601333 1703928.8694254826))"
3,88e75c583bfffff,0,0,,,,0.0,0,0,0,0,-4307.75,0,0,0,0,0,,"POLYGON ((5400394.434160532 3191045.9911378697, 5400910.973445904 3191366.2457613507, 5401301.3651361875 3190208.9283140227, 5401175.310890496 3188731.247788894, 5400658.752244285 3188410.382483927, 5400268.267161854 3189567.808284196, 5400394.434160532 3191045.9911378697))"
4,88f1693865fffff,0,0,,,,0.0,0,0,0,0,-3039.3055555555557,0,0,0,0,0,,"POLYGON ((3845240.6233273754 1229251.9590165808, 3845730.6118509555 1231674.6229787562, 3846249.069303673 1229130.835846423, 3846278.3668626174 1224167.3746509983, 3845789.2689813343 1221741.039320914, 3845269.9829037776 1224281.8305918972, 3845240.6233273754 1229251.9590165808))"
